How can Discussions be useful for my Page?|<p>Discussions enable threaded conversations on topics in Pages. It allows people to discuss and share information on topics related to a Page. Discussions within a Page are present in the &ldquo;Discussions&rdquo; tab on the Page&rsquo;s Profile. Discussions can be very helpful for your Page as they can indicate the level of activity in your Page. They can also be used to answer and attend to customer queries on your Page.</p>|Page and Business Solutions|Discussions
Can I delete a discussion from my Page?|<p>You can delete any discussion from your Page either posted by you or by any other member on this community. Discussion owners can delete their discussions posted on your Page.</p>|Page and Business Solutions|Discussions
How can I stop receiving notifications coming to me for a Page discussion?|<p>To stop receiving notifications for a Page discussion, you can use the &ldquo;Stop Watching Topic&rdquo; link available on the top of the discussion page.</p>|Page and Business Solutions|Discussions
What is the purpose of the “Make Sticky” feature in discussions?|<p>A discussion can be made to stick at the top of other discussions of its Page by using the &ldquo;Make Sticky&rdquo; option available on the discussion page. In the &ldquo;Discussions&rdquo; tab of a Page, sticky discussions will always appear at the top of the list.</p>|Page and Business Solutions|Discussions
Who can mark discussions as “Sticky”?|<p>Discussions can be marked as &ldquo;Sticky&rdquo; by any Page Admin, or the creator of the discussion topic.</p>|Page and Business Solutions|Discussions
I have a Page on this site. However, the Discussions feature is not available for my Page. What could be the reason?|<p>The reason why Discussions feature is not available for your Page could be that, you might have chosen a Package for your Page for which the Discussions App is not available. In this case, you can see if choosing a different Package with the Discussions App suits you. You can change the Package for your Page from the &ldquo;Packages&rdquo; section of your Page Dashboard.<br>Availability of Packages for Pages, and their features are conditional depending on the settings chosen by our site administrator.</p>|Page and Business Solutions|Discussions
