How can Polls be useful for my group?|<p>Polls for your group would enable you and your fans to gather opinions and feedback for various topics within your group on this site. Members can create poll questions within groups which can be answered by other members and visitors. The answers given by others for these polls are shown in attractive graphical manner.</p>|Group Solutions|Polls
How can I create a poll?|<p>You can add a Poll to your group in one of the following ways:<br>1. To create a Poll, please follow the steps below:<br> a. Go to the group Profile.&nbsp; &nbsp;<br>b. Click &ldquo;Polls&rdquo; tab on the group Profile. You might have to click on the &ldquo;More&rdquo; tab to expand the menu bar to see &ldquo;Polls&rdquo;.<br>c. Click on &ldquo;Create a Poll&rdquo; link from the top left corner of the &ldquo;Polls&rdquo; tab to create a poll.<br>d. Fill up the form to create a poll.<br>e. Click on &ldquo;Create Poll&rdquo;, to save the Poll for your group.<br>&nbsp;<br>2. From the &ldquo;Apps&rdquo; section of your group Dashboard, click on the &ldquo;Create a Poll&rdquo; button and follow the steps from &lsquo;d&rsquo; to &lsquo;e&rsquo; in case 1 above.</p>|Group Solutions|Polls
Who all can create Polls on my group?|<p>You can choose who all can create Polls for your group while creating your group, by choosing the appropriate option for the &ldquo;Polls Creation Privacy&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;Edit group Details&rdquo; link for your group.</p>|Group Solutions|Polls
How many Polls can I create for my group?|<p>There is no limit on the number of Polls that you can create for your group. You can create any number of Polls for your group.</p>|Group Solutions|Polls
I want to search for a specific group Poll. How can I do that?|<p>You can search for a group Poll using the detailed search box available in the &ldquo;Polls&rdquo; section under group navigation.</p>|Group Solutions|Polls
I have a group on this site. However, the Polls feature is not available for my group. What could be the reason?|<p>The reason why Polls feature is not available for your group could be that, you might have chosen a Package for your group for which the polls App is not available. In this case, you can see if choosing a different Package with the Polls App suits you. You can change the Package for your group from the &ldquo;Packages&rdquo; section of your group Dashboard.<br>Availability of Packages for groups, and their features are conditional depending on the settings chosen by our site administrator.</p>|Group Solutions|Polls
