What are Rating parameters?|<p>Rating parameters enable visitors to your Page to give their accurate opinions about your Page depending on various fields / parameters relevant to your Page. Rating parameters are dependent on the category of your Page. There are different rating parameters for the various categories. Apart from parameter based ratings, visitors would also be able to give an overall rating for your Page.</p>|Page and Business Solutions|Reviews and Ratings
Why I am not able to write reviews for my Page?|<p>Page Admins are not allowed to write reviews for their own Pages. If you are a Page admin, you will not be able to write a review for your own Page. Other members on this community can review your Page.</p>|Page and Business Solutions|Reviews and Ratings
Someone has written an inaccurate review for my Page. What should I do?|<p>If someone has written an inaccurate or unfavourable review for your Page, then we recommend you to first communicate with the reviewer yourself, and ask clarification for the review. You may explain to the reviewer the actual situation, and why you feel that their review is inappropriate. It is most likely that in this case, the reviewer might edit their review and rating themselves. If that does not yield results, then you may report the review to our site administrators by clicking on the &ldquo;Report&rdquo; link on the main review page, and filling the appropriate values. Our site administrators will then take appropriate action on the review.</p>|Page and Business Solutions|Reviews and Ratings
If I change the category of my Page, will it affect Page ratings?|<p>If you change the category of your Page, then the overall rating of the Page remains unaffected but the ratings based on various parameters will all be reset to zero. Now, the Rating parameters associated with the new category will be displayed to the visitors.</p>|Page and Business Solutions|Reviews and Ratings
I want to search for a specific Page Review. How can I do that?|<p>You can search for a Page Review using the detailed search box available in the &ldquo;Review&rdquo; section under Page navigation.</p>|Page and Business Solutions|Reviews and Ratings
What are Featured Page Reviews? Who can mark Reviews for Pages as Featured?|<p>Featured Page Reviews are reviews of Pages which are specially marked as &ldquo;Featured&rdquo;. Such reviews are more highlighted than others and thus gain more visibility. Featured Page Reviews appear in the &ldquo;Featured Reviews&rdquo; slideshow in the &ldquo;Reviews&rdquo; section under Page navigation. On &ldquo;Browse Reviews&rdquo; for Page Reviews and in search results, they are marked with a &ldquo;Featured&rdquo; marker. The search form for Page Reviews also has a quick filter for seeing Featured Reviews.<br>Page Reviews can be made Featured only by our site administrators.</p>|Page and Business Solutions|Reviews and Ratings
