What is the purpose of a group Offer?|<p>group Offers enable you to showcase offers of your group on your group, to attract more fans to your group. group Offers can increase your sales as displaying them on your group could get customers interested in availing the deals offered by you.</p>|Group Solutions|Offers
Who all can create Offers on my group?|<p>The group Admins of your group can create Offers for your group.</p>|Group Solutions|Offers
What are Hot group Offers? Who can mark Offers for groups as Hot?|<p>Hot group Offers are offers of groups which are specially marked as &ldquo;Hot&rdquo;. Such offers are more highlighted than others and thus gain more visibility. Hot Offers appear in the &ldquo;Hot group Offers&rdquo; block in the &ldquo;Offers&rdquo; section under group navigation. On &ldquo;Browse Offers&rdquo; for group Offers and in search results, Hot Offers are marked with a &ldquo;Hot Offer&rdquo; marker. The search form for group Offers also has a quick filter for seeing Hot Offers.<br>group Offers can be marked &ldquo;Hot&rdquo; only by our site administrators.</p>|Group Solutions|Offers
I want to search for a specific group Offer. How can I do that?|<p>You can search for a group Offer using the detailed search box available in the &ldquo;Offers&rdquo; section under group navigation.</p>|Group Solutions|Offers
I have a group on this site. However, the Offers feature is not available for my group. What could be the reason?|<p>The reason why Offers feature is not available for your group could be that, you might have chosen a Package for your group for which the Offers App is not available. In this case, you can see if choosing a different Package with the Offers App suits you. You can change the Package for your group from the &ldquo;Packages&rdquo; section of your group Dashboard.<br>Availability of Packages for groups, and their features are conditional depending on the settings chosen by our site administrator.</p>|Group Solutions|Offers
