How can Polls be useful for my business?|<p>Polls for your business would enable you and your fans to gather opinions and feedback for various topics within your business on this site. Members can create poll questions within businesses which can be answered by other members and visitors. The answers given by others for these polls are shown in attractive graphical manner.</p>|Business Solutions|Polls
How can I create a poll?|<p>You can add a Poll to your business in one of the following ways:<br>1. To create a Poll, please follow the steps below:<br> a. Go to the business Profile.&nbsp; &nbsp;<br>b. Click &ldquo;Polls&rdquo; tab on the business Profile. You might have to click on the &ldquo;More&rdquo; tab to expand the menu bar to see &ldquo;Polls&rdquo;.<br>c. Click on &ldquo;Create a Poll&rdquo; link from the top left corner of the &ldquo;Polls&rdquo; tab to create a poll.<br>d. Fill up the form to create a poll.<br>e. Click on &ldquo;Create Poll&rdquo;, to save the Poll for your business.<br>&nbsp;<br>2. From the &ldquo;Apps&rdquo; section of your business Dashboard, click on the &ldquo;Create a Poll&rdquo; button and follow the steps from &lsquo;d&rsquo; to &lsquo;e&rsquo; in case 1 above.</p>|Business Solutions|Polls
What are Sponsored business Polls? How can Polls created on my business be made Sponsored?|<p>Sponsored business Polls are those Polls which have been created for Paid businesses. These Sponsored Polls will appear in the &ldquo;Sponsored Polls&rdquo; block in the &ldquo;Polls&rdquo; section under business navigation. On &ldquo;Browse Polls&rdquo; for business Polls and in search results, they are marked with a &ldquo;Sponsored&rdquo; marker. The search form for business Polls also has a quick filter for seeing Sponsored Polls.<br>If your business is created under a Paid Package, then the Polls created for it would automatically be made Sponsored. The availability of Paid business Packages on our site is conditional depending on the settings configured by our site administrators.</p>|Business Solutions|Polls
Who all can create Polls on my business?|<p>You can choose who all can create Polls for your business while creating your business, by choosing the appropriate option for the &ldquo;Polls Creation Privacy&rdquo; field. You can edit this privacy any time by clicking on the &ldquo;Edit business Details&rdquo; link for your business.</p>|Business Solutions|Polls
How many Polls can I create for my business?|<p>There is no limit on the number of Polls that you can create for your business. You can create any number of Polls for your business.</p>|Business Solutions|Polls
I want to search for a specific business Poll. How can I do that?|<p>You can search for a business Poll using the detailed search box available in the &ldquo;Polls&rdquo; section under business navigation.</p>|Business Solutions|Polls
I have a business on this site. However, the Polls feature is not available for my business. What could be the reason?|<p>The reason why Polls feature is not available for your business could be that, you might have chosen a Package for your business for which the polls App is not available. In this case, you can see if choosing a different Package with the Polls App suits you. You can change the Package for your business from the &ldquo;Packages&rdquo; section of your business Dashboard.<br>Availability of Packages for businesses, and their features are conditional depending on the settings chosen by our site administrator.</p>|Business Solutions|Polls
