How can Discussions be useful for my business?|<p>Discussions enable threaded conversations on topics in businesses. It allows people to discuss and share information on topics related to a business. Discussions within a business are present in the &ldquo;Discussions&rdquo; tab on the business&rsquo;s Profile. Discussions can be very helpful for your business as they can indicate the level of activity in your business. They can also be used to answer and attend to customer queries on your business.</p>|Business Solutions|Discussions
Can I delete a discussion from my business?|<p>You can delete any discussion from your business either posted by you or by any other member on this community. Discussion owners can delete their discussions posted on your business.</p>|Business Solutions|Discussions
How can I stop receiving notifications coming to me for a business discussion?|<p>To stop receiving notifications for a business discussion, you can use the &ldquo;Stop Watching Topic&rdquo; link available on the top of the discussion business.</p>|Business Solutions|Discussions
What is the purpose of the “Make Sticky” feature in discussions?|<p>A discussion can be made to stick at the top of other discussions of its business by using the &ldquo;Make Sticky&rdquo; option available on the discussion business. In the &ldquo;Discussions&rdquo; tab of a business, sticky discussions will always appear at the top of the list.</p>|Business Solutions|Discussions
Who can mark discussions as “Sticky”?|<p>Discussions can be marked as &ldquo;Sticky&rdquo; by any business Admin, or the creator of the discussion topic.</p>|Business Solutions|Discussions
I have a business on this site. However, the Discussions feature is not available for my business. What could be the reason?|<p>The reason why Discussions feature is not available for your business could be that, you might have chosen a Package for your business for which the Discussions App is not available. In this case, you can see if choosing a different Package with the Discussions App suits you. You can change the Package for your business from the &ldquo;Packages&rdquo; section of your business Dashboard.<br>Availability of Packages for businesses, and their features are conditional depending on the settings chosen by our site administrator.</p>|Business Solutions|Discussions
