"Are you sure that you want to delete this offer? It will not be recoverable after being deleted.";"Are you sure that you want to delete this offer? It will not be recoverable after being deleted."
"Next";"Next"
"Are you sure you want to make this offer as featured? Only one offer can be made featured, and this offer will then be shown alongside your Page's entry in the listing of all Pages of this community. It will also be shown on top of all your offers on your Page profile.";"Are you sure you want to make this offer as featured? Only one offer can be made featured, and this offer will then be shown alongside your Page's entry in the listing of all Pages of this community. It will also be shown on top of all your offers on your Page profile."
"Latest Offers";"Latest Offers"
"Most Viewed Offers";"Most Viewed Offers"
"Most Commented Offers";"Most Commented Offers"
"Most Liked Offers";"Most Liked Offers"
"Most Popular Offers";"Most Popular Offers"
"Expired Offers";"Expired Offers"
"* Please enter a title.";"* Please enter a title."
"* Please enter a claims count.";"* Please enter a claims count."
"* Please enter description.";"* Please enter description."
"Uploading image...";"Uploading image..."
"_EMAIL_OFFER_CLAIM_TITLE";"Offer Claim"
"_EMAIL_OFFER_CLAIM_DESCRIPTION";"This is the email that gets sent to members as offer claim from the site."
"_EMAIL_OFFER_CLAIM_SUBJECT";"[subject]"
"_EMAIL_OFFER_CLAIM_BODY";"
[template_header]
[header]

[message]

[footer]
[template_footer]"
"Displays list of offers of Paid Pages on the site. This widget should be placed on Pages Offer.";"Displays list of offers of Paid Pages on the site. This widget should be placed on Pages Offer."
"Default ordering on Page Offer";"Default ordering on Page Offer"
"Select the default ordering for offers to be listed on Page Offer.";"Select the default ordering for offers to be listed on Page Offer."
"Page Offers per page";"Page Offers per page"
"How many page offers will be shown per page on Pages Offer";"How many page offers will be shown per page on Pages Offer"
"No offers have been created in this Page yet.";"No offers have been created in this Page yet."
"Be the first to %1$screate%2$s one!";"Be the first to %1$screate%2$s one!"
"claimed this.";"claimed this."
"claims left.";"claims left."
"Get Offer";"Get Offer"
"Resend Offer";"Resend Offer"
"View Offer";"View Offer"
"Offer of the Day";"Offer of the Day"
"Hot Offers";"Hot Offers"
"Upcoming";"Upcoming"
"Most Liked";"Most Liked"
"Most Viewed";"Most Viewed"
"Most Commented";"Most Commented"
"";""
"ITEM_TYPE_SITEPAGEOFFER_OFFER";"Page Offers"
"ADMIN_ACTIVITY_TYPE_SITEPAGEOFFER_ADMIN_NEW";"When page admin creates a new page offer"
"ADMIN_ACTIVITY_TYPE_SITEPAGEOFFER_HOME";"When someone claims a Page Offer."
"_ACTIVITY_ACTIONTYPE_SITEPAGEOFFER_NEW";"New page offer creates by member"
"ADMIN_ACTIVITY_TYPE_SITEPAGEOFFER_NEW";"When someone creates a new page offer."
"_ACTIVITY_ACTIONTYPE_SITEPAGEOFFER_ADMIN_NEW";"New page offer creates by page admin"


"{item:$object} added a new offer:";"{item:$object} added a new offer:"
"_ACTIVITY_ACTIONTYPE_SITEPAGEOFFER_HOME";"When a user claims an offer."
"_EMAIL_SITEPAGEOFFER_CREATENOTIFICATION_EMAIL_TITLE";"Page Offer Email Notification"
"_EMAIL_SITEPAGEOFFER_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and page admin of the Page when member create a page offer in page."
"_EMAIL_SITEPAGEOFFER_CREATENOTIFICATION_EMAIL_SUBJECT";"[[page_title]] New Offer: [item_title]"
"_EMAIL_SITEPAGEOFFER_CREATENOTIFICATION_EMAIL_BODY";"
[header]

[body_content]

[footer]"
"Page Offer Information";"Page Offer Information"

"{item:$subject} has created a page offer {var:$eventname}.";"{item:$subject} has created a page offer {var:$eventname}."
"ACTIVITY_TYPE_SITEPAGEOFFER_CREATE";"When a user create an offer."
"Delete Page Offer ?";"Delete Page Offer ?"

#Sitemobile
"mobilepagetitle-sitepageoffer-browse-sitemobile-index";"Browse Page Offers"
"mobilepagetitle-sitepageoffer-create-sitemobile-index";"Add an Offer"
"mobilepagetitle-sitepageoffer-edit-sitemobile-index";"Edit Offer"
"mobilepagetitle-sitepageoffer-delete-sitemobile-index";"Delete Offer"
"mobilepagetitle-sitepageoffer-getoffer-sitemobile-index";"Get Offer"
"mobilepagetitle-sitepageoffer-resendoffer-sitemobile-index";"Resend Offer"
"ACTIVITY_CATEGORY_TYPE_SITEPAGEOFFER";"Pages"


