"ITEM_TYPE_SITEPAGEMUSIC_PLAYLIST";"Page Playlists"
"This is the view page for a page music.";"This is the view page for a page music."
"Everyone's Music";"Everyone's Music"
"My Music";"My Music"
"Sponsored Music";"Sponsored Music"
"Music of Pages I Like";"Music of Pages I Like"
"Displays the Playlists from Paid Pages. You can choose the number of entries to be shown.";"Displays the Playlists from Paid Pages. You can choose the number of entries to be shown."
"Forms the Music tab of your Page and shows music of your Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"Forms the Music tab of your Page and shows music of your Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Displays your Page's most popular playlists.";"Displays your Page's most popular playlists."
"Displays your Page's most commented playlists.";"Displays your Page's most commented playlists."
"Displays your Page's most recent playlists.";"Displays your Page's most recent playlists."
"Displays your Page's most liked playlists.";"Displays your Page's most liked playlists."
"Displays a music player that plays the playlist that you select to be played on your Page Profile.";"Displays a music player that plays the playlist that you select to be played on your Page Profile."
"Most Popular Playlists";"Most Popular Playlists"
"Most Commented Playlists";"Most Commented Playlists"
"Most Recent Playlists";"Most Recent Playlists"
"Most Liked Playlists";"Most Liked Playlists"
"Recent Page Playlists";"Recent Page Playlists"
"Displays list of recent playlists of pages on the site.";"Displays list of recent playlists of pages on the site."
"Page Music View";"Page Music View"
"{item:$subject} created a new playlist:";"{item:$subject} created a new playlist:"
"{item:$subject} created a new playlist in the page {item:$object}:";"{item:$subject} created a new playlist in the page {item:$object}:"
"{item:$object} created a new playlist {var:$linked_music_title}:";"{item:$object} created a new playlist {var:$linked_music_title}:"
"in ";"in "
"%s's Music";"%s's Music"
"Created %s by ";"Created %s by "
"No music were found matching your search criteria.";"No music were found matching your search criteria."
"No music has been posted in this Page yet.";"No music has been posted in this Page yet."
"Be the first to %1$spost%2$s one!";"Be the first to %1$spost%2$s one!"
" &raquo; Music ";" &raquo; Music "
"Show my music";"Show my music"
"Search:";"Search:"
"Browse by:";"Browse by:"
"Show this playlist in search results.";"Show this playlist in search results."
"Add Music";"Add Music"
"Created %s ";"Created %s "
"Directory/Pages - Music";"Directory/Pages - Music"
"File Progress";"File Progress"
"{item:$object} created a new playlist:";"{item:$object} created a new playlist:"
"_SITEPAGEMUSIC_DEFAULT_PLAYLIST";"Wall Playlist"
"Click ""Add Music"" to select one or more songs from your computer. After you have selected the songs, they will begin to upload right away. When your upload is finished, click the button below the song list to save them to your playlist.";"Click ""Add Music"" to select one or more songs from your computer. After you have selected the songs, they will begin to upload right away. When your upload is finished, click the button below the song list to save them to your playlist."
"Make Music of the Day";"Make Music of the Day"
"Add a Music of the Day";"Add a Music of the Day"
"Select a start date and end date below.This music will be displayed as ""Music of the Day"" for this duration.If more than one musics of the day are found for a date then randomly one will be displayed.";"Select a start date and end date below.This music will be displayed as ""Music of the Day"" for this duration.If more than one musics of the day are found for a date then randomly one will be displayed."
"Make Music Featured ?";"Make Music Featured ?"
"Are you sure that you want to make this Page Music featured?";"Are you sure that you want to make this Page Music featured?"
"Make Music Un-featured ?";"Make Music Un-featured ?"
"Are you sure that you want to make this Page Music un-featured ?";"Are you sure that you want to make this Page Music un-featured ?"
"Featured Playlists";"Featured Playlists"
"Playlists";"Playlists"
"Featured Music";"Featured Music"
"Browse Music";"Browse Music"
"Playlist of the Day";"Playlist of the Day"

"_EMAIL_SITEPAGEMUSIC_CREATENOTIFICATION_EMAIL_TITLE";"Page Music Email Notification"
"_EMAIL_SITEPAGEMUSIC_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and page admin of the Page when member create a page music in page."
"_EMAIL_SITEPAGEMUSIC_CREATENOTIFICATION_EMAIL_SUBJECT";"[[page_title]] New Music: [item_title]"
"_EMAIL_SITEPAGEMUSIC_CREATENOTIFICATION_EMAIL_BODY";"
[header]

[body_content]

[footer]"

"{item:$subject} has created a page music {var:$eventname}.";"{item:$subject} has created a page music {var:$eventname}."
"ACTIVITY_CATEGORY_TYPE_SITEPAGEMUSIC";"Pages"
