"Make Note of the Day";"Make Note of the Day"
"Make Note Un-featured ?";"Make Note Un-featured ?"
"Are you sure that you want to make this Page Note un-featured ?";"Are you sure that you want to make this Page Note un-featured ?"
"Make Note Featured ?";"Make Note Featured ?"
"Are you sure that you want to make this Page Note featured?";"Are you sure that you want to make this Page Note featured?"
"Add a Note of the Day";"Add a Note of the Day"
"Select a start date and end date below.This note will be displayed as ""Note of the Day"" for this duration.If more than one notes of the day are found for a date then randomly one will be displayed.";"Select a start date and end date below.This note will be displayed as ""Note of the Day"" for this duration.If more than one notes of the day are found for a date then randomly one will be displayed."
"_ACTIVITY_ACTIONTYPE_SITEPAGENOTE_NEW";"New page notes creates by member"
"ITEM_TYPE_SITEPAGENOTE_NOTE";"Page Notes"
"ADMIN_ACTIVITY_TYPE_SITEPAGENOTE_NEW";"When someone creates a new page note."
"ADMIN_ACTIVITY_TYPE_SITEPAGENOTE_ADMIN_NEW";"When page admin creates a new page note."
"_ACTIVITY_ACTIONTYPE_SITEPAGENOTE_ADMIN_NEW";"New page notes creates by page admin"
"{item:$object} created a new note:";"{item:$object} created a new note:"
"Write a Note";"Write a Note"
"Edit Photos";"Edit Photos"
"Notes";"Notes"
"Save Changes";"Save Changes"
"Add New Photos";"Add New Photos"
"Recent Notes";"Recent Notes"
"Popular Note Tags";"Popular Note Tags"
"Shows popular tags with frequency";"Shows popular tags with frequency"
"Browse the tags created for notes by various members.";"Browse the tags created for notes by various members."
"We have moved these ""Advanced Lightbox Display Settings"" in ""SocialEngineAddOns Core Plugin"". You can change the desired settings by visiting ""%1sAdvanced Lightbox Settings%2s"" section in ""SocialEngineAddOns Core Plugin"".";"We have moved these ""Advanced Lightbox Display Settings"" in ""SocialEngineAddOns Core Plugin"". You can change the desired settings by visiting ""%1sAdvanced Lightbox Settings%2s"" section in ""SocialEngineAddOns Core Plugin""."
"Advanced Lightbox Display";"Advanced Lightbox Display"


"_EMAIL_SITEPAGENOTE_CREATENOTIFICATION_EMAIL_TITLE";"Page Note Email Notification"
